情***g,2017-03-15 23:31:58,过了好几天，电脑终于收到了挺好的，遇到问题时客服也挺耐心教你，LOL运行也还行90-110的FPS，游戏画面也挺流畅的还是个双音的,给个好评
带***1,2017-03-15 22:33:41,本本是给女票买的，我自己也是用的3s，她又不玩游戏，就办公，机械硬盘足矣，用了一段时间才来好评，她也非常喜欢，你二台了，以后有朋友要买一定介绍
t***2,2017-03-15 21:11:26,宝贝收到！迫不及待的顶着寒风搬回寝室了，午觉都没睡就打开试手，感觉非常棒，开机快，运行流畅，轻薄款，店家把机身贴膜都给我贴的妥妥的才发过来，大爱?
小***啦,2017-03-15 21:00:51,店家发货很速度，收到的时候很开心，很惊喜，一看着质量就不错，速度很快一点就不卡，很好用，不愧是麦本本4个usb插孔，运行的时候几乎没有声音，也不是很发热，打LOL一点也不卡，很喜欢。。。。
m***9,2017-03-15 19:56:25,首先我要评论下，他们这的客服那个叫卖萌斯密达的服务特别周到，令我很满意，不管这个电脑好不好，这妹子就值得给五星好评了。还是说说电脑吧、这电脑配置很高，三千多块钱买到这配置我朋友他说最少得五千块钱，玩起英雄联盟来一点也不卡、而且外观也很完美，beautiful。
苍***剑,2017-03-15 17:24:52,本本很漂亮
z***i,2017-03-15 16:59:01,亲50字以上五星晒图评价+追加评价截图给我， 可以送U盘的哦，ps：您可以写下您的配置，使用感受以及客服的服务等~3199升级为8g内存240固态，开机11秒操作顺畅，送的贴膜手工比较粗糙。个人感觉性价比不高，但想想这个价格(3699)大牌的话想都别想了。希望耐用，暂评5星好评。
q***5,2017-03-15 16:33:59,总有一些客服跟家里si人了一样，这种素质回家种田去吧！
好***荷,2017-03-15 16:33:19,帮小弟买的 他说物流有点难 应该是别人推荐他买这款的 说明这款还是有购买的价值的
我***人,2017-03-15 16:13:41,发货速度很快，按照我的要求发货了，并答应帮我贴膜也做到了。很满意的一次购物，机器性能如何，需进一步确认。
傻***懿,2017-03-15 14:54:15,买来一个礼拜，贴好膜的，手感不错，就是屏幕太薄了吧？然后给下了不需要的软件，不喜欢。屏幕不是镜面屏，可能我记错了！看了太多型号搞乱了。。。评分不是很高，但评分不能说明什么，实用才行，先用一段时间看看，看看效果如何，然后不得不吐槽发货速度，慢的！估计是配货速度太慢了，物流是很快的！
深***来,2017-03-15 14:23:11,电脑很好，很轻薄。大概只有2kg左右。给贴的膜也很好看。黑色磨砂膜手感也很好。这个价格这配置已经没什么说的了，况且带的还有固态，开机很快，加个机械盘满足一切需求。满分！
金***乌,2017-03-15 14:15:56,用了幾天才來評價，感覺很不錯，屏幕很高清，這電腦打死遊戲來也是666，總之很棒，這價錢很值。
糖***装,2017-03-15 13:54:10,这电脑买的绝对超值对于游戏党来说，固态硬盘用起来很爽，开机10左右，英雄联盟读条8秒左右，飞一般的感觉，fps稳定在100多。我用了一个星期才来评价的。。。。
蹦***4,2017-03-15 13:33:23,这是我第一次在网上买电脑，买回来3天了，现在才来评价。说实话，刚拿到手的时候我还是很满意的，颜值很高，磨砂质感好，屏幕也很大。最关键是很便宜，才3000。这个价位确实对的住。而且也可以玩英雄联盟（个人感觉不卡）。就是电脑内存只有120G。但对我来说没什么影响，学生党，不需要那么多内存。非常愉快的一次购物
秋***i,2017-03-15 13:19:46,收到麦本本之后使用了一天才来发表，总体来说很好。外观很漂亮，固体硬盘很强大，开机12s，鲁大师跑分也在9w左右，打撸啊撸fps能稳定在70左右，整体很流畅，性价比挺高的，但是稍微有一点缺点就是风扇声音有点响，散热不算很优秀，运行游戏的时候cpu温度略高，但毕竟良心价格在这了。总的来说还是很愉快的一次购物，好评。
c***1,2017-03-15 12:53:13,发货速度还是挺快的。买了i5 5200 的128固态硬盘加500机械硬盘，win10的系统还行，开机速度很快，基本上10秒内。电脑运行起来也还是可以的，只是开多大型软件会稍微有点顿，还是可以接受的，性价比很高。用了几天了没发现什么大问题，风扇散热也是不错的&hellip;&hellip;?
