淡***6,2017-03-06 10:57:31,首先我想说的是，亚光灰色还是非常不错的看不出有大黑边，性能好，运行快。但是这个手机的缺点还是有几点是让我非常不满意的，比如 1、手机电池续航能力差、待机时间不长，待机五个小时就去了百分之六电（后台没有运行东西）。2、手机相机的像素和成像没有像官方宣传的那么好，而且有时还不能自动对焦，前置的就更不用说了（也可能是我买到的手机中奖了?）。3、指纹识别的速度中规中矩。4、手机的快充也一般般，从百分之20充到满电也需要1小时30分钟。5、发货速度慢。下面是我用手机拍的照片，大家看看吧。
曾***3,2017-03-06 13:35:50,等了两天才发货，拿到手感觉很棒，很轻。大黑边感人，慢慢习惯。手机也验证了是正品。指纹录入右手挺快的 ，左手慢的很。指纹解锁时灵时不灵的，其他还在慢慢摸索。反正比我的红米note2强太多了&hellip;&hellip;过段时间在追评&hellip;&hellip;
d***7,2017-03-07 15:10:03,用了几天才来评价的，玩游戏还是挺流畅的，充电发还是发热不过还好毕竟为发烧而生嘛！建议大家贴全屏的膜这款贴不是全屏的有白边要说为什么谁让咱的曲线是S形的呢，哈哈_特别说下物流头天晚上买的居然第二天中午到了这速度，还有谁～
他***佳,2017-03-07 22:54:19,米4用户。换了5s后不得不说超声波解锁蛮有意思的!虽然比起电容式的速度的确略慢，但毕竟超声波解锁技术还不成熟。深灰色版确实抢手，正面黑色好看炸了!!背面金属深灰拉丝还能接受。整体握感好评。不吹不黑1999还是很值的!miui系统用习惯了，挺喜欢所以再次选择了小米。对了，2.5D玻璃屏颜值确实可以!
1***我,2017-03-10 19:01:28,信号很好的，没有做极限测试 一般，最大声是就有一点点杂音 开了一些软件（没有打开游戏）3G的运行只剩820了，醉了。 一般 还行 好的，啥也没赠送，没耳机，没钢化膜。
g***4,2017-03-11 17:08:18,给对象买的，用了几天来评价。全黑正面真的很漂亮，颜值高。运行流畅，玩炉石传说手机也不发烫。音质一般，照相在这个价位中规中矩，指纹识别如市面评价，5次成功3次。
逆***8,2017-03-06 10:40:13,拍照效果还是可以的,照相效果不错。 听听音乐，看看新闻再上上网，不怎么玩，电量三天一充就可以了。 信号强，全家人的共用wif，各手机都正常上网聊天抢红包。 充电挺快的，手机和充电器温度还行。 感觉小米手机值得拥有 朋友买手机我都是推荐买小米 ，一直都挺满意的，支持小米。
小***存,2017-03-09 16:04:27,第一次买小米，快递很给力，当天发货包装也很结实。像素真心很不错啊。信号也还可以，两天一冲电就行了，3G运行内存不算大但性价比很高。不过这大黑框是个缺点啊，好在我用华为都看习惯了?。支持一下吧！
单***彩,2017-03-07 17:26:03,灰色的手机非常好看，完全看不到黑边，实际入手不算厚重，还较为轻薄，像素很好，分辨率也高。但缺点也很多，玩游戏特别容易误触主页，菜单键，打个王者荣耀简直抓狂，并且指纹解锁真的垃圾，我现在还是用的密码锁屏，指纹完全没反应了，黑科技黑的可以
z***4,2017-03-11 17:40:49,本地发过来的，很快。才拿到手机，还没有熟悉，不过3g运行内存拿到的时候还剩1.3个g。就是4g的没得货了。可惜了点。应该好用的，下了几个软件，开始发烧咯。。。。。。剪卡用指甲刀剪还真是麻烦
大***壳,2017-03-10 07:13:24,整体感觉不错，用起来也很流畅，真的会发热，屏幕看着很舒服很细腻，相机拍照也很清晰果然有绝招，总的来说性价比超高
筱***藤,2017-03-11 13:47:06,我怀疑我逛了假的小米旗舰店，以前买东西都是隔天就到了，这次等的让我生活不能自理&hellip;&hellip;
燕***丨,2017-03-11 22:01:33,没有想象中那么厚，看上去还是挺薄的，就是指纹解锁挺让人捉急&hellip;&hellip;希望小米工程师赶紧优化，期待下次系统升级有所改善。
你***5,2017-03-05 19:01:16,我买的是粉色的还不错。当然，那个应该叫玫瑰金吧！当时买的时候看人家说那个指纹接受有点反应不灵敏我感觉还行吗谁没上去他就开机了，还不错，就是内部设置有点麻烦，和我以前用的小米note不一样。不过还不错，总体来说挺好的。应该可以用一年多点吧上一个小米note用了一年多没有用换，给了我妈了新的又买了一个小米五s s，希望可以用久一点吧。
